student_id,task,skill_id,success,step
0,6,0,0,1
0,1,1,1,2
0,7,1,0,3
0,0,0,1,4
0,2,0,1,5
0,6,0,0,6
0,3,1,1,7
0,3,1,1,8
1,0,0,0,1
1,3,1,0,2
1,1,1,0,3
1,1,1,0,4
1,1,1,1,5
1,5,1,0,6
1,4,0,0,7
1,7,1,0,8
1,3,1,1,9
1,5,1,1,10
1,6,0,0,11
1,1,1,1,12
1,5,1,1,13
1,7,1,1,14
1,0,0,0,15
1,2,0,1,16
2,0,0,0,1
2,6,0,0,2
2,0,0,0,3
2,6,0,1,4
2,1,1,1,5
2,5,1,0,6
2,3,1,1,7
2,7,1,0,8
3,6,0,0,1
3,6,0,0,2
3,6,0,0,3
3,4,0,0,4
3,1,1,1,5
3,0,0,1,6
3,6,0,0,7
3,5,1,0,8
3,3,1,1,9
3,7,1,1,10
4,0,0,0,1
4,6,0,0,2
4,7,1,0,3
4,7,1,1,4
4,3,1,1,5
4,3,1,1,6
4,0,0,1,7
4,5,1,1,8
4,5,1,0,9
4,0,0,1,10
4,5,1,1,11
4,3,1,1,12
4,2,0,0,13
5,7,1,0,1
5,2,0,0,2
5,4,0,0,3
5,2,0,0,4
5,1,1,0,5
5,5,1,0,6
5,5,1,0,7
5,0,0,0,8
5,7,1,0,9
5,7,1,0,10
5,1,1,1,11
5,4,0,0,12
6,4,0,0,1
6,3,1,0,2
6,1,1,1,3
6,2,0,0,4
6,7,1,0,5
6,4,0,0,6
6,5,1,0,7
6,1,1,1,8
6,0,0,0,9
6,0,0,0,10
6,0,0,1,11
7,3,1,0,1
7,0,0,1,2
7,3,1,0,3
7,4,0,0,4
7,5,1,0,5
7,5,1,0,6
7,4,0,0,7
7,4,0,1,8
7,1,1,1,9
8,6,0,0,1
8,6,0,0,2
8,4,0,0,3
8,0,0,0,4
8,5,1,0,5
8,0,0,1,6
8,0,0,0,7
8,3,1,0,8
8,7,1,0,9
8,3,1,0,10
8,4,0,0,11
8,5,1,1,12
9,0,0,0,1
9,6,0,0,2
9,0,0,0,3
9,0,0,1,4
9,0,0,1,5
