student_id,task,skill_id,success,step
0,1,1,0,1
0,0,0,1,2
0,1,1,0,3
0,0,0,0,4
0,1,1,0,5
0,0,0,0,6
0,1,1,1,7
0,0,0,1,8
0,1,1,0,9
1,1,1,0,1
1,1,1,0,2
1,0,0,0,3
1,0,0,0,4
1,1,1,0,5
1,0,0,0,6
1,0,0,1,7
1,1,1,1,8
1,0,0,1,9
1,1,1,1,10
2,1,1,1,1
2,1,1,0,2
2,0,0,0,3
2,0,0,0,4
2,1,1,0,5
2,0,0,0,6
2,0,0,1,7
2,0,0,1,8
2,1,1,1,9
3,0,0,0,1
3,0,0,0,2
3,1,1,1,3
3,0,0,0,4
3,0,0,1,5
3,0,0,1,6
3,0,0,1,7
3,0,0,1,8
3,1,1,0,9
3,0,0,1,10
3,1,1,1,11
4,1,1,0,1
4,1,1,0,2
4,1,1,0,3
4,0,0,0,4
4,0,0,1,5
4,0,0,1,6
4,0,0,1,7
4,0,0,0,8
4,0,0,0,9
4,1,1,1,10
4,1,1,1,11
5,0,0,0,1
5,0,0,0,2
5,0,0,0,3
5,0,0,0,4
5,0,0,0,5
5,1,1,0,6
5,0,0,1,7
5,1,1,0,8
5,1,1,1,9
5,1,1,1,10
6,0,0,1,1
6,0,0,0,2
6,1,1,0,3
6,0,0,1,4
6,0,0,1,5
6,1,1,0,6
6,0,0,1,7
6,0,0,1,8
6,1,1,0,9
6,0,0,1,10
6,0,0,1,11
6,1,1,1,12
6,0,0,1,13
6,1,1,0,14
7,0,0,0,1
7,1,1,1,2
7,1,1,1,3
7,1,1,0,4
7,0,0,0,5
7,1,1,0,6
7,1,1,1,7
7,0,0,1,8
7,1,1,1,9
7,1,1,0,10
7,1,1,1,11
7,0,0,1,12
8,1,1,1,1
8,1,1,0,2
8,1,1,1,3
8,1,1,1,4
8,0,0,0,5
8,1,1,1,6
8,0,0,0,7
8,0,0,0,8
8,0,0,1,9
8,1,1,0,10
8,1,1,1,11
8,0,0,1,12
9,0,0,0,1
9,1,1,0,2
9,1,1,1,3
9,0,0,1,4
9,0,0,0,5
9,1,1,0,6
9,0,0,1,7
9,1,1,1,8
10,0,0,0,1
10,1,1,0,2
10,0,0,0,3
10,0,0,0,4
10,0,0,1,5
10,1,1,0,6
10,0,0,1,7
10,1,1,1,8
10,1,1,0,9
10,1,1,0,10
11,1,1,1,1
11,0,0,1,2
11,1,1,0,3
11,0,0,0,4
11,1,1,1,5
11,0,0,0,6
11,1,1,0,7
11,0,0,1,8
12,0,0,1,1
12,1,1,0,2
12,1,1,0,3
12,1,1,0,4
12,1,1,0,5
12,0,0,0,6
12,1,1,0,7
12,1,1,0,8
12,0,0,0,9
12,0,0,1,10
13,1,1,1,1
13,1,1,1,2
13,1,1,1,3
13,1,1,0,4
13,1,1,1,5
13,1,1,1,6
13,1,1,1,7
13,1,1,1,8
13,0,0,1,9
13,1,1,1,10
13,0,0,1,11
13,1,1,1,12
13,1,1,1,13
13,1,1,1,14
13,0,0,1,15
14,1,1,0,1
14,1,1,0,2
14,0,0,0,3
14,1,1,0,4
14,0,0,1,5
14,0,0,0,6
14,0,0,0,7
14,0,0,0,8
14,1,1,1,9
14,0,0,1,10
14,1,1,1,11
15,1,1,0,1
15,0,0,0,2
15,1,1,0,3
15,0,0,1,4
15,0,0,0,5
15,0,0,0,6
15,0,0,0,7
15,1,1,0,8
15,0,0,0,9
15,1,1,1,10
15,1,1,1,11
16,0,0,0,1
16,1,1,0,2
16,0,0,0,3
16,0,0,0,4
16,0,0,0,5
16,1,1,0,6
16,1,1,1,7
16,0,0,1,8
16,0,0,1,9
16,1,1,1,10
17,1,1,0,1
17,1,1,1,2
17,0,0,1,3
17,1,1,0,4
17,1,1,1,5
17,0,0,1,6
17,1,1,1,7
17,0,0,1,8
18,1,1,0,1
18,1,1,0,2
18,1,1,0,3
18,0,0,1,4
18,0,0,1,5
18,1,1,0,6
18,1,1,0,7
18,0,0,1,8
18,0,0,1,9
18,1,1,1,10
19,0,0,1,1
19,0,0,0,2
19,0,0,0,3
19,0,0,0,4
19,1,1,1,5
19,0,0,1,6
19,0,0,1,7
19,1,1,1,8
19,0,0,1,9
19,0,0,1,10
19,1,1,1,11
20,0,0,0,1
20,0,0,0,2
20,1,1,0,3
20,1,1,0,4
20,1,1,1,5
20,0,0,1,6
20,1,1,1,7
20,1,1,1,8
20,1,1,1,9
20,1,1,1,10
20,1,1,1,11
20,0,0,1,12
21,1,1,1,1
21,0,0,0,2
21,0,0,1,3
21,0,0,1,4
21,0,0,1,5
21,1,1,1,6
21,1,1,1,7
22,0,0,0,1
22,1,1,1,2
22,1,1,0,3
22,1,1,0,4
22,0,0,0,5
22,1,1,1,6
22,0,0,1,7
22,0,0,0,8
22,1,1,1,9
22,1,1,1,10
22,0,0,0,11
23,1,1,1,1
23,1,1,0,2
23,1,1,0,3
23,1,1,1,4
23,1,1,0,5
23,1,1,0,6
23,0,0,1,7
23,1,1,1,8
23,1,1,1,9
23,1,1,1,10
23,0,0,1,11
23,1,1,0,12
23,0,0,1,13
24,0,0,0,1
24,1,1,1,2
24,0,0,0,3
24,1,1,1,4
24,0,0,1,5
24,1,1,1,6
24,0,0,0,7
24,0,0,0,8
25,1,1,0,1
25,1,1,0,2
25,1,1,0,3
25,0,0,0,4
25,1,1,0,5
25,0,0,0,6
25,1,1,1,7
25,0,0,0,8
25,0,0,1,9
25,0,0,1,10
26,1,1,0,1
26,1,1,0,2
26,0,0,0,3
26,0,0,0,4
26,0,0,0,5
26,0,0,0,6
26,0,0,0,7
26,0,0,1,8
26,0,0,1,9
26,1,1,0,10
26,0,0,1,11
26,1,1,0,12
26,1,1,1,13
27,0,0,0,1
27,1,1,0,2
27,1,1,0,3
27,1,1,0,4
27,0,0,1,5
27,0,0,0,6
27,1,1,0,7
27,0,0,1,8
27,1,1,0,9
27,1,1,0,10
28,1,1,1,1
28,0,0,0,2
28,0,0,0,3
28,0,0,0,4
28,0,0,1,5
28,0,0,1,6
28,1,1,1,7
28,1,1,0,8
29,1,1,1,1
29,1,1,1,2
29,0,0,0,3
29,1,1,0,4
29,0,0,1,5
29,1,1,0,6
29,1,1,1,7
29,0,0,0,8
29,1,1,0,9
29,1,1,1,10
29,1,1,1,11
29,0,0,0,12
29,1,1,0,13
29,1,1,1,14
29,0,0,0,15
30,1,1,1,1
30,0,0,0,2
30,1,1,1,3
30,1,1,0,4
30,1,1,0,5
30,1,1,1,6
30,0,0,0,7
30,1,1,1,8
30,0,0,0,9
30,1,1,1,10
30,0,0,0,11
30,0,0,0,12
30,0,0,1,13
31,0,0,0,1
31,0,0,1,2
31,0,0,1,3
31,0,0,1,4
31,0,0,1,5
31,1,1,0,6
31,1,1,0,7
31,1,1,1,8
31,1,1,1,9
32,0,0,1,1
32,1,1,0,2
32,0,0,0,3
32,0,0,1,4
32,1,1,1,5
32,1,1,0,6
32,1,1,1,7
33,1,1,1,1
33,1,1,1,2
33,1,1,0,3
33,1,1,1,4
33,1,1,1,5
33,0,0,0,6
33,1,1,1,7
33,0,0,1,8
33,0,0,0,9
33,0,0,0,10
33,1,1,1,11
33,0,0,1,12
34,1,1,0,1
34,0,0,0,2
34,1,1,1,3
34,0,0,0,4
34,1,1,1,5
34,1,1,1,6
34,1,1,0,7
34,1,1,1,8
34,1,1,1,9
34,0,0,0,10
34,1,1,0,11
34,0,0,1,12
34,1,1,1,13
34,1,1,1,14
34,1,1,1,15
34,0,0,0,16
35,0,0,1,1
35,0,0,0,2
35,0,0,0,3
35,0,0,1,4
35,1,1,1,5
35,0,0,1,6
35,0,0,0,7
35,1,1,0,8
35,0,0,1,9
35,1,1,0,10
35,1,1,1,11
36,0,0,0,1
36,0,0,0,2
36,0,0,0,3
36,0,0,1,4
36,1,1,1,5
36,0,0,0,6
36,0,0,1,7
36,1,1,1,8
36,1,1,1,9
37,1,1,0,1
37,0,0,1,2
37,1,1,0,3
37,0,0,0,4
37,0,0,0,5
37,1,1,0,6
37,1,1,0,7
37,0,0,0,8
37,0,0,1,9
37,0,0,1,10
37,1,1,1,11
38,1,1,0,1
38,1,1,1,2
38,1,1,1,3
38,1,1,0,4
38,0,0,0,5
38,1,1,0,6
38,0,0,1,7
38,1,1,1,8
38,1,1,1,9
38,0,0,0,10
38,1,1,1,11
38,1,1,1,12
38,0,0,1,13
39,1,1,1,1
39,1,1,1,2
39,1,1,1,3
39,0,0,0,4
39,0,0,0,5
39,0,0,1,6
39,0,0,0,7
39,1,1,1,8
39,0,0,1,9
40,0,0,1,1
40,0,0,0,2
40,0,0,0,3
40,0,0,0,4
40,0,0,1,5
40,0,0,1,6
40,1,1,1,7
40,1,1,0,8
40,0,0,0,9
40,1,1,0,10
40,0,0,1,11
40,0,0,1,12
40,1,1,0,13
40,1,1,1,14
41,1,1,0,1
41,1,1,0,2
41,0,0,0,3
41,0,0,0,4
41,0,0,1,5
41,1,1,0,6
41,0,0,1,7
41,0,0,1,8
41,0,0,1,9
41,1,1,1,10
41,0,0,1,11
41,1,1,1,12
42,1,1,1,1
42,1,1,0,2
42,1,1,1,3
42,1,1,1,4
42,1,1,0,5
42,0,0,0,6
42,0,0,1,7
42,0,0,0,8
42,0,0,1,9
43,0,0,0,1
43,1,1,0,2
43,0,0,0,3
43,1,1,0,4
43,1,1,0,5
43,1,1,1,6
43,0,0,1,7
43,0,0,1,8
43,0,0,1,9
43,0,0,1,10
43,0,0,1,11
43,1,1,1,12
44,0,0,0,1
44,0,0,0,2
44,1,1,0,3
44,1,1,0,4
44,0,0,1,5
44,0,0,1,6
44,0,0,1,7
44,0,0,1,8
44,0,0,0,9
44,1,1,1,10
44,1,1,0,11
44,0,0,1,12
44,1,1,0,13
45,1,1,0,1
45,0,0,0,2
45,1,1,0,3
45,1,1,0,4
45,1,1,0,5
45,1,1,0,6
45,1,1,1,7
45,0,0,1,8
45,0,0,0,9
45,1,1,1,10
45,0,0,1,11
46,1,1,0,1
46,0,0,0,2
46,0,0,0,3
46,0,0,1,4
46,0,0,0,5
46,1,1,0,6
46,0,0,1,7
46,1,1,0,8
46,1,1,0,9
46,1,1,1,10
47,1,1,0,1
47,1,1,0,2
47,0,0,0,3
47,0,0,1,4
47,1,1,1,5
47,1,1,1,6
47,1,1,1,7
47,0,0,0,8
47,1,1,1,9
47,0,0,0,10
47,0,0,1,11
48,0,0,0,1
48,1,1,0,2
48,1,1,0,3
48,1,1,1,4
48,1,1,1,5
48,1,1,0,6
48,0,0,0,7
48,1,1,1,8
48,1,1,1,9
48,1,1,1,10
48,1,1,0,11
48,1,1,1,12
48,0,0,0,13
48,0,0,0,14
48,1,1,1,15
48,1,1,1,16
48,1,1,1,17
48,0,0,1,18
49,1,1,0,1
49,1,1,0,2
49,1,1,1,3
49,0,0,0,4
49,0,0,1,5
49,1,1,1,6
49,1,1,0,7
49,1,1,0,8
49,0,0,0,9
49,1,1,0,10
49,1,1,1,11
49,1,1,1,12
49,1,1,1,13
49,0,0,1,14
50,0,0,0,1
50,0,0,1,2
50,1,1,0,3
50,1,1,0,4
50,0,0,0,5
50,0,0,1,6
50,1,1,0,7
50,0,0,1,8
50,1,1,1,9
50,1,1,0,10
51,1,1,1,1
51,1,1,0,2
51,0,0,0,3
51,1,1,1,4
51,1,1,0,5
51,1,1,0,6
51,1,1,1,7
51,0,0,0,8
51,0,0,1,9
51,1,1,1,10
51,1,1,1,11
51,1,1,0,12
51,1,1,0,13
51,0,0,0,14
51,0,0,0,15
52,1,1,0,1
52,1,1,0,2
52,1,1,1,3
52,0,0,1,4
52,1,1,1,5
52,0,0,0,6
52,1,1,1,7
52,1,1,1,8
52,0,0,1,9
53,0,0,0,1
53,1,1,0,2
53,0,0,1,3
53,0,0,0,4
53,0,0,0,5
53,1,1,1,6
53,1,1,1,7
53,1,1,0,8
53,0,0,0,9
54,1,1,1,1
54,0,0,1,2
54,0,0,0,3
54,0,0,1,4
54,0,0,0,5
54,0,0,1,6
54,1,1,1,7
54,1,1,0,8
55,0,0,0,1
55,0,0,1,2
55,1,1,0,3
55,0,0,1,4
55,0,0,1,5
55,1,1,0,6
55,1,1,0,7
55,1,1,1,8
55,1,1,0,9
56,1,1,1,1
56,1,1,1,2
56,0,0,1,3
56,0,0,0,4
56,1,1,0,5
56,1,1,1,6
56,1,1,0,7
56,1,1,1,8
56,0,0,1,9
57,0,0,0,1
57,0,0,0,2
57,0,0,1,3
57,0,0,1,4
57,1,1,0,5
57,1,1,0,6
57,0,0,0,7
57,0,0,1,8
57,1,1,0,9
57,0,0,0,10
57,0,0,0,11
57,0,0,1,12
57,1,1,0,13
57,0,0,1,14
57,1,1,0,15
57,1,1,1,16
58,1,1,0,1
58,0,0,0,2
58,0,0,0,3
58,0,0,0,4
58,1,1,0,5
58,1,1,1,6
58,1,1,0,7
58,1,1,0,8
58,1,1,1,9
58,0,0,0,10
